model,accuracy,auc_roc,precision,recall,f1
Random Forest,0.5129032258064516,0.5032952771272444,0.5031823571188501,0.44491803278688524,0.4709854131762266
XGBoost,0.4991935483870968,0.5137789080796253,0.4866450697420766,0.4415573770491803,0.46168209923522224
LightGBM,0.5024193548387098,0.5035782185141817,0.49146176093209987,0.46795081967213115,0.47809323435414736
Logistic Regression,0.510483870967742,0.5122408234126985,0.5009678539932368,0.3030054644808743,0.37334024121082304
Stacked Ensemble,0.5120967741935484,0.5096673615611442,0.5294117647058824,0.029654036243822075,0.056162246489859596
