scenario,team_a_win_probability,team_b_win_probability,team_a_probability_shift_points
Baseline final input,0.4622932838248692,0.5377067161751308,0.0
RCB wins toss and fields first,0.4622932838248692,0.5377067161751308,0.0
GT wins toss and fields first,0.4527227262127428,0.5472772737872572,-0.9570557612126385
RCB wins toss and bats first,0.4527227262127428,0.5472772737872572,-0.9570557612126385
Kagiso Rabada unavailable (approx feature shock),0.4609637746529925,0.5390362253470076,-0.1329509171876686
