Match_ID,Home_Team,Away_Team,Venue,First_Inn_Score,Second_Inn_Score,Winner,Margin,Toss_Winner,Toss_Decision,Player_of_Match
66,GT,CSK,Ahmedabad,229/4,140/10,GT,89 runs,CSK,Bowl,Mohammed Siraj
67,SRH,RCB,Hyderabad,255/4,200/4,SRH,55 runs,SRH,Bat,Ishan Kishan
69,MI,RR,Mumbai,205/8,175/9,RR,30 runs,MI,Bowl,Jofra Archer
54,RCB,MI,New Raipur,166/7,167/8,RCB,2 wickets,RCB,Bowl,Bhuvneshwar Kumar
64,RR,LSG,Jaipur,220/5,225/3,RR,7 wickets,RR,Bowl,Vaibhav Sooryavanshi
52,RR,GT,Jaipur,229/4,152/10,GT,77 runs,RR,Bowl,Rashid Khan
56,GT,SRH,Ahmedabad,168/5,86/10,GT,82 runs,SRH,Bowl,Kagiso Rabada
61,PBKS,RCB,Dharamshala,222/4,199/8,RCB,23 runs,PBKS,Bowl,Venkatesh Iyer
63,CSK,SRH,Chennai,180/7,181/5,SRH,5 wickets,CSK,Bat,Ishan Kishan
